"Name","Team","BABIP","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","RS","RS/9","Balls","Strikes","Pitches","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","playerid"
"Blaine Hardy","Tigers",".215","1.35","15.4%","48.5%","36.0%","10.2%","20.4%","21","4.26","242","447","689","46.4%","33.6%","20.0%","21.4%","39.3%","39.3%","6499"
"Ty Buttrey","Angels",".323","1.34","20.3%","45.7%","34.0%","11.9%","11.9%","51","6.35","431","794","1225","35.0%","27.9%","37.1%","13.2%","39.1%","47.7%","14719"
"Wily Peralta","Royals",".306","1.34","20.8%","45.4%","33.8%","13.6%","15.9%","5","1.12","270","403","673","45.0%","32.1%","22.9%","15.3%","40.5%","44.3%","7738"
"Shaun Anderson","Giants",".322","1.34","28.1%","41.2%","30.7%","13.8%","13.8%","46","4.31","597","990","1587","42.3%","34.7%","23.0%","17.7%","42.3%","40.1%","19453"
"Xavier Cedeno","Cubs",".444","1.33","22.2%","44.4%","33.3%","0.0%","0.0%","0","0.00","18","27","45","55.6%","22.2%","22.2%","0.0%","33.3%","66.7%","36"
"Robert Stock","Padres",".400","1.33","12.5%","50.0%","37.5%","0.0%","16.7%","7","5.91","103","126","229","46.9%","25.0%","28.1%","9.4%","40.6%","50.0%","6576"
"Mike Freeman","Indians",".143","1.33","12.5%","50.0%","37.5%","0.0%","33.3%","0","0.00","8","15","23","75.0%","12.5%","12.5%","12.5%","62.5%","25.0%","11241"
"Jose Osuna","Pirates",".250","1.33","22.2%","44.4%","33.3%","0.0%","33.3%","3","11.57","11","20","31","44.4%","22.2%","33.3%","22.2%","55.6%","22.2%","12937"
"John Curtiss","Angels",".250","1.33","12.5%","50.0%","37.5%","33.3%","0.0%","3","11.57","22","26","48","50.0%","25.0%","25.0%","25.0%","50.0%","25.0%","16128"
"Joe Harvey","- - -",".306","1.33","19.2%","46.2%","34.6%","5.6%","16.7%","9","4.50","150","211","361","34.6%","40.4%","25.0%","11.5%","50.0%","38.5%","16459"
"Jarlin Garcia","Marlins",".248","1.33","17.9%","46.9%","35.2%","5.9%","7.8%","29","5.15","268","491","759","38.9%","40.9%","20.1%","16.8%","48.3%","34.9%","18282"
"Shane Greene","- - -",".238","1.33","18.7%","46.4%","34.9%","10.3%","13.8%","14","2.01","326","623","949","38.1%","38.7%","23.2%","13.7%","49.4%","36.9%","10756"
"Anthony Swarzak","- - -",".280","1.32","19.6%","45.8%","34.6%","15.1%","22.6%","27","4.56","375","566","941","44.5%","27.7%","27.7%","16.1%","43.2%","40.7%","7466"
"Kyle Wright","Braves",".351","1.32","26.7%","41.7%","31.7%","0.0%","21.1%","7","3.20","150","201","351","29.5%","41.0%","29.5%","6.6%","50.8%","42.6%","19665"
"Chris Mazza","Mets",".389","1.31","31.5%","38.9%","29.6%","6.3%","0.0%","13","7.16","106","179","285","38.9%","29.6%","31.5%","13.0%","50.0%","37.0%","14151"
"Dylan Covey","White Sox",".321","1.31","26.1%","41.9%","32.0%","9.2%","18.5%","31","4.76","376","643","1019","41.8%","32.2%","26.0%","15.9%","52.4%","31.7%","14825"
"Steven Brault","Pirates",".309","1.31","21.3%","44.6%","34.1%","10.5%","13.2%","54","4.29","768","1233","2001","34.9%","36.3%","28.8%","17.7%","43.9%","38.4%","15291"
"Homer Bailey","- - -",".301","1.30","21.7%","44.3%","34.0%","11.6%","12.8%","117","6.45","1003","1833","2836","39.6%","33.9%","26.5%","14.6%","42.5%","42.9%","8362"
"Robert Gsellman","Mets",".315","1.30","21.6%","44.3%","34.1%","9.5%","11.1%","26","3.68","397","675","1072","35.6%","36.2%","28.2%","21.8%","46.3%","31.9%","13696"
"Joey Lucchesi","Padres",".271","1.30","17.0%","47.0%","36.1%","8.4%","13.9%","77","4.23","982","1661","2643","33.4%","40.0%","26.6%","17.5%","45.5%","37.0%","19320"
"Tyler Beede","Giants",".312","1.30","22.3%","43.9%","33.8%","3.3%","18.3%","49","3.77","765","1263","2028","40.7%","34.8%","24.5%","12.5%","41.0%","46.5%","16981"
"Yonny Chirinos","Rays",".246","1.30","23.4%","43.3%","33.3%","13.4%","18.1%","58","3.92","698","1287","1985","39.2%","40.3%","20.5%","18.2%","48.3%","33.5%","16401"
"Jon Lester","Cubs",".347","1.30","23.3%","43.3%","33.4%","9.0%","14.6%","132","6.92","1139","1904","3043","41.9%","35.8%","22.3%","15.9%","45.6%","38.6%","4930"
"Blake Treinen","Athletics",".306","1.29","24.1%","42.8%","33.1%","12.7%","16.4%","22","3.38","379","644","1023","48.5%","27.2%","24.3%","18.3%","45.0%","36.7%","12572"
"Corey Oswalt","Mets",".364","1.29","27.3%","40.9%","31.8%","0.0%","14.3%","5","6.75","62","77","139","56.5%","13.0%","30.4%","8.7%","69.6%","21.7%","13677"
"Zach Eflin","Phillies",".291","1.29","21.1%","44.4%","34.5%","8.6%","16.0%","90","4.96","884","1687","2571","40.8%","34.5%","24.7%","16.1%","46.0%","37.9%","13774"
"Sam Gaviglio","Blue Jays",".258","1.28","15.9%","47.3%","36.8%","7.8%","17.6%","45","4.23","488","939","1427","45.3%","31.7%","23.0%","15.8%","49.6%","34.5%","12778"
"Jacob deGrom","Mets",".282","1.28","21.1%","44.4%","34.6%","14.2%","11.2%","92","4.06","1075","2222","3297","38.6%","33.1%","28.3%","21.9%","48.4%","29.7%","10954"
"Josh Taylor","Red Sox",".321","1.28","21.2%","44.2%","34.5%","10.3%","12.8%","20","3.80","317","519","836","46.5%","36.0%","17.5%","19.3%","50.0%","30.7%","17359"
"Dereck Rodriguez","Giants",".282","1.28","22.5%","43.5%","34.0%","8.2%","19.1%","32","2.91","635","1033","1668","42.4%","32.7%","24.9%","13.3%","44.2%","42.4%","14509"
"Ruben Alaniz","- - -",".333","1.28","19.6%","45.1%","35.3%","16.7%","16.7%","11","6.32","103","160","263","39.2%","39.2%","21.6%","15.7%","52.9%","31.4%","10819"
"Carson Fulmer","White Sox",".263","1.28","21.4%","44.0%","34.5%","17.2%","17.2%","23","7.57","210","346","556","43.5%","31.8%","24.7%","15.3%","50.6%","34.1%","18311"
"Hector Neris","Phillies",".240","1.27","18.8%","45.5%","35.7%","10.9%","18.2%","22","2.93","409","717","1126","48.7%","31.4%","19.9%","19.9%","38.5%","41.7%","11804"
"Matt Carasiti","Mariners",".346","1.27","10.7%","50.0%","39.3%","0.0%","18.2%","6","5.59","76","109","185","14.3%","46.4%","39.3%","17.9%","53.6%","28.6%","13276"
"Tyler Olson","Indians",".341","1.27","19.4%","45.2%","35.5%","6.1%","9.1%","9","2.64","199","344","543","47.9%","26.6%","25.5%","20.2%","47.9%","31.9%","14741"
"Evan Phillips","Orioles",".411","1.27","31.5%","38.4%","30.1%","13.6%","9.1%","11","3.54","226","341","567","33.3%","33.3%","33.3%","17.3%","50.7%","32.0%","17734"
"Wander Suero","Nationals",".326","1.27","27.2%","40.8%","32.1%","6.8%","8.5%","64","8.07","428","782","1210","35.5%","33.9%","30.7%","15.6%","46.8%","37.6%","15855"
"Walker Lockett","Mets",".365","1.27","25.3%","41.8%","32.9%","7.7%","23.1%","18","7.15","118","251","369","46.3%","33.8%","20.0%","18.8%","50.0%","31.3%","13804"
"Chad Sobotka","Braves",".324","1.27","20.3%","44.6%","35.1%","7.7%","23.1%","12","3.72","219","345","564","31.1%","40.5%","28.4%","13.5%","39.2%","47.3%","17470"
"Chaz Roe","Rays",".357","1.26","20.0%","44.6%","35.4%","10.9%","6.5%","30","5.29","351","574","925","32.8%","42.0%","25.2%","20.6%","45.8%","33.6%","9866"
"Tyler Anderson","Rockies",".391","1.26","25.7%","41.4%","32.9%","4.3%","34.8%","15","6.53","150","279","429","40.3%","37.5%","22.2%","13.9%","56.9%","29.2%","12880"
"Connor Sadzeck","Mariners",".250","1.26","17.5%","46.0%","36.5%","26.1%","13.0%","8","3.04","165","259","424","28.6%","49.2%","22.2%","20.6%","41.3%","38.1%","13483"
"Joe Musgrove","Pirates",".299","1.26","20.2%","44.5%","35.4%","7.8%","11.7%","100","5.28","852","1805","2657","43.8%","34.0%","22.3%","19.0%","44.0%","37.1%","12970"
"Yoshihisa Hirano","Diamondbacks",".314","1.25","20.1%","44.4%","35.4%","13.7%","13.7%","34","5.77","337","597","934","44.2%","28.6%","27.2%","19.7%","41.5%","38.8%","19756"
"Shane Bieber","Indians",".296","1.25","21.1%","43.9%","35.0%","11.4%","16.1%","120","5.04","1124","2208","3332","39.4%","34.8%","25.8%","13.4%","44.0%","42.6%","19427"
"Erasmo Ramirez","Red Sox",".200","1.25","18.2%","45.5%","36.4%","0.0%","50.0%","0","0.00","18","23","41","50.0%","33.3%","16.7%","33.3%","33.3%","33.3%","10314"
"Jake Faria","- - -",".397","1.25","27.4%","40.3%","32.3%","15.0%","25.0%","17","8.20","163","245","408","39.7%","27.0%","33.3%","17.5%","47.6%","34.9%","13699"
"James Karinchak","Indians",".231","1.25","30.8%","38.5%","30.8%","0.0%","0.0%","0","0.00","28","66","94","30.8%","46.2%","23.1%","30.8%","23.1%","46.2%","20151"
"Jordan Zimmermann","Tigers",".339","1.25","24.5%","41.9%","33.6%","9.3%","14.7%","43","3.46","653","1213","1866","45.0%","29.4%","25.6%","13.6%","43.7%","42.7%","4505"
"Yusei Kikuchi","Mariners",".310","1.24","20.6%","44.0%","35.4%","12.0%","18.8%","94","5.23","978","1743","2721","40.6%","29.9%","29.5%","18.0%","44.3%","37.7%","20633"
"Cal Quantrill","Padres",".295","1.24","21.5%","43.5%","35.0%","5.4%","13.5%","60","5.24","663","1118","1781","42.7%","31.3%","26.0%","15.5%","43.0%","41.5%","19312"
"Sandy Alcantara","Marlins",".271","1.24","19.5%","44.6%","35.9%","10.8%","10.8%","67","3.06","1093","1998","3091","40.6%","35.1%","24.3%","19.7%","45.7%","34.6%","18684"
"Oliver Perez","Indians",".314","1.24","21.3%","43.5%","35.2%","7.9%","13.2%","13","2.88","204","449","653","41.8%","28.2%","30.0%","18.2%","50.0%","31.8%","1514"
"Gabriel Ynoa","Orioles",".273","1.23","15.4%","46.7%","37.9%","2.8%","20.0%","49","3.98","643","1172","1815","46.9%","29.2%","24.0%","14.3%","49.7%","35.9%","12938"
"Trevor Rosenthal","- - -",".289","1.23","21.6%","43.2%","35.1%","7.7%","0.0%","8","4.70","190","215","405","36.8%","44.7%","18.4%","18.4%","52.6%","29.0%","10745"
"Tony Watson","Giants",".287","1.23","20.5%","43.9%","35.7%","11.5%","14.8%","18","3.00","264","549","813","30.6%","42.8%","26.6%","22.5%","41.6%","35.8%","3132"
"Nathan Eovaldi","Red Sox",".315","1.23","19.2%","44.6%","36.3%","4.3%","22.9%","46","6.12","480","784","1264","37.1%","34.0%","28.9%","15.5%","47.4%","37.1%","9132"
"Austin Brice","Marlins",".248","1.23","23.4%","42.2%","34.4%","11.4%","15.9%","27","5.44","277","502","779","35.9%","29.7%","34.4%","21.1%","43.0%","35.9%","17237"
"Alex Colome","White Sox",".215","1.23","17.9%","45.2%","36.9%","1.6%","11.3%","18","2.66","364","611","975","44.7%","35.3%","20.0%","8.8%","53.5%","37.7%","6661"
"Walker Buehler","Dodgers",".290","1.23","22.5%","42.7%","34.8%","6.1%","12.2%","123","6.07","899","1939","2838","34.3%","38.1%","27.6%","14.0%","44.1%","41.8%","19374"
"Zack Wheeler","Mets",".311","1.22","21.4%","43.2%","35.3%","10.9%","10.9%","112","5.16","1039","2120","3159","39.5%","30.7%","29.8%","19.3%","49.3%","31.4%","10310"
"Clay Buchholz","Blue Jays",".319","1.22","18.4%","44.9%","36.7%","8.3%","18.1%","28","4.27","329","634","963","41.6%","33.5%","24.9%","23.9%","37.6%","38.6%","3543"
"Ryan Feierabend","Blue Jays",".409","1.22","16.7%","45.8%","37.5%","0.0%","22.2%","2","3.18","31","73","104","50.0%","29.2%","20.8%","12.5%","58.3%","29.2%","6336"
"Jakob Junis","Royals",".318","1.22","22.9%","42.4%","34.7%","6.5%","16.7%","90","4.62","1075","1851","2926","44.0%","34.1%","22.0%","12.5%","44.9%","42.6%","13619"
"Ryan Yarbrough","Rays",".264","1.22","20.3%","43.8%","35.9%","10.9%","10.2%","71","4.51","680","1377","2057","38.7%","35.3%","26.0%","18.5%","50.7%","30.8%","16502"
"Mitch Keller","Pirates",".475","1.22","28.7%","39.2%","32.2%","6.5%","13.0%","19","3.56","314","618","932","37.2%","32.4%","30.3%","15.2%","49.0%","35.9%","17594"
"Buddy Boshers","Blue Jays",".333","1.21","17.6%","45.1%","37.3%","5.3%","15.8%","11","4.95","137","247","384","44.4%","24.1%","31.5%","14.8%","51.9%","33.3%","8490"
"Kyle McGowin","Nationals",".326","1.21","19.2%","44.2%","36.5%","0.0%","36.8%","11","6.19","117","181","298","41.5%","39.6%","18.9%","9.4%","49.1%","41.5%","15071"
"Jon Duplantier","Diamondbacks",".356","1.21","19.2%","44.2%","36.5%","7.9%","5.3%","9","2.21","262","415","677","39.6%","34.9%","25.5%","13.2%","41.5%","45.3%","19546"
"Jesse Chavez","Rangers",".310","1.21","24.2%","41.5%","34.3%","9.9%","14.8%","45","5.19","484","823","1307","36.6%","37.8%","25.6%","16.0%","42.0%","42.0%","5448"
"Zack Godley","- - -",".297","1.21","21.3%","43.0%","35.7%","8.8%","13.7%","54","5.28","586","962","1548","43.9%","32.9%","23.2%","16.3%","45.0%","38.8%","14862"
"Felix Pena","Angels",".256","1.20","22.3%","42.4%","35.2%","6.5%","17.2%","49","4.58","595","975","1570","47.7%","31.6%","20.7%","13.5%","44.7%","41.7%","13403"
"Alex Gordon","Royals",".500","1.20","26.7%","40.0%","33.3%","20.0%","20.0%","0","0.00","30","32","62","53.3%","40.0%","6.7%","13.3%","46.7%","40.0%","5209"
"Tim Melville","Rockies",".263","1.19","21.0%","43.0%","36.0%","5.6%","25.0%","14","3.78","209","355","564","46.2%","30.8%","23.1%","13.5%","46.2%","40.4%","9149"
"Ian Kennedy","Royals",".343","1.19","18.1%","44.4%","37.4%","12.5%","9.4%","11","1.56","377","719","1096","36.0%","30.9%","33.1%","16.0%","50.9%","33.1%","6986"
"Chris Sale","Red Sox",".309","1.19","21.1%","42.8%","36.1%","8.9%","19.5%","64","3.91","824","1642","2466","41.9%","32.9%","25.3%","16.9%","47.1%","36.1%","10603"
"Kyle Hendricks","Cubs",".287","1.19","23.9%","41.3%","34.8%","9.9%","10.4%","91","4.63","858","1840","2698","38.1%","36.8%","25.1%","19.7%","46.5%","33.8%","12049"
"Will Smith","Giants",".277","1.18","22.5%","42.0%","35.5%","6.1%","20.4%","15","2.07","354","689","1043","41.4%","31.4%","27.1%","15.7%","45.0%","39.3%","8048"
"Greg Holland","Diamondbacks",".244","1.18","16.3%","45.3%","38.4%","3.0%","15.2%","3","0.76","232","367","599","47.1%","32.2%","20.7%","10.3%","48.3%","41.4%","7196"
"Javier Guerra","Padres",".167","1.18","11.1%","48.1%","40.7%","0.0%","27.3%","0","0.00","51","83","134","59.3%","18.5%","22.2%","14.8%","48.2%","37.0%","17292"
"John Schreiber","Tigers",".406","1.18","31.4%","37.1%","31.4%","0.0%","27.3%","10","6.92","91","160","251","40.0%","40.0%","20.0%","8.6%","62.9%","28.6%","20020"
"Merrill Kelly","Diamondbacks",".292","1.18","22.4%","42.0%","35.6%","6.6%","14.8%","99","4.86","1064","1898","2962","45.7%","31.0%","23.3%","12.7%","44.6%","42.7%","11156"
"Chris Stratton","- - -",".349","1.17","26.4%","39.7%","33.9%","9.9%","16.0%","49","5.80","505","858","1363","33.6%","38.6%","27.8%","17.4%","44.8%","37.8%","13761"
"Daniel Ponce de Leon","Cardinals",".256","1.17","16.4%","45.1%","38.5%","14.9%","12.8%","18","3.33","319","542","861","32.5%","36.6%","30.9%","17.1%","48.0%","35.0%","16110"
"Daniel Norris","Tigers",".309","1.17","21.1%","42.6%","36.4%","6.9%","15.7%","67","4.18","828","1533","2361","40.0%","34.5%","25.5%","13.5%","48.1%","38.4%","13475"
"Ryan Tepera","Blue Jays",".234","1.17","23.5%","41.2%","35.3%","12.5%","20.8%","7","2.91","128","212","340","37.7%","29.0%","33.3%","15.9%","42.0%","42.0%","10291"
"Jesse Hahn","Royals",".462","1.17","7.1%","50.0%","42.9%","0.0%","16.7%","1","1.93","42","65","107","42.9%","35.7%","21.4%","14.3%","35.7%","50.0%","13287"
"Ben Heller","Yankees",".333","1.17","13.3%","46.7%","40.0%","16.7%","16.7%","1","1.23","44","58","102","62.5%","25.0%","12.5%","18.8%","12.5%","68.8%","15100"
"Matt Hall","Tigers",".364","1.17","25.7%","40.0%","34.3%","16.7%","16.7%","5","1.93","202","299","501","38.6%","27.1%","34.3%","18.6%","42.9%","38.6%","18076"
"A.J. Puk","Athletics",".321","1.17","10.3%","48.3%","41.4%","25.0%","8.3%","19","15.09","73","129","202","27.6%","31.0%","41.4%","17.2%","41.4%","41.4%","19343"
"Cionel Perez","Astros",".286","1.17","16.1%","45.2%","38.7%","0.0%","25.0%","1","1.00","65","98","163","41.9%","32.3%","25.8%","6.5%","25.8%","67.7%","19614"
"Adam Warren","Padres",".247","1.16","20.2%","42.9%","36.9%","0.0%","29.0%","23","7.22","235","320","555","45.4%","27.9%","26.7%","14.0%","45.4%","40.7%","9029"
"Trevor Gott","Giants",".276","1.16","19.7%","43.1%","37.2%","17.6%","7.8%","27","4.61","315","599","914","34.1%","39.1%","26.8%","25.4%","35.5%","39.1%","15046"
"Josh Osich","White Sox",".260","1.15","21.1%","42.3%","36.6%","7.0%","21.1%","19","2.53","370","683","1053","48.5%","30.1%","21.4%","18.4%","46.4%","35.2%","11528"
"David Price","Red Sox",".336","1.15","23.5%","41.0%","35.5%","11.5%","14.4%","68","5.70","642","1220","1862","42.4%","32.9%","24.8%","19.7%","43.4%","37.0%","3184"
"Dan Altavilla","Mariners",".242","1.15","15.2%","45.5%","39.4%","7.7%","7.7%","5","3.07","111","183","294","32.4%","44.1%","23.5%","17.7%","52.9%","29.4%","16507"
"Aaron Brooks","- - -",".290","1.15","18.2%","43.8%","38.1%","7.5%","15.7%","50","4.09","707","1192","1899","41.3%","35.4%","23.3%","16.9%","46.4%","36.8%","12272"
"Felipe Vazquez","Pirates",".306","1.15","21.1%","42.2%","36.7%","4.3%","10.6%","17","2.55","299","660","959","33.3%","33.3%","33.3%","19.4%","44.2%","36.4%","12076"
"Lou Trivino","Athletics",".316","1.15","15.6%","45.1%","39.3%","13.2%","10.3%","28","4.20","367","620","987","40.5%","28.1%","31.5%","21.9%","42.7%","35.4%","15043"
"Jesus Tinoco","Rockies",".245","1.15","20.0%","42.7%","37.3%","2.4%","29.3%","15","3.75","262","354","616","52.7%","26.4%","20.9%","23.6%","40.0%","36.4%","16300"
"Mike Clevinger","Indians",".306","1.15","23.5%","40.8%","35.6%","9.7%","9.7%","83","5.93","764","1326","2090","42.3%","33.0%","24.7%","19.9%","47.1%","33.0%","12808"
"Edwin Jackson","- - -",".363","1.14","20.4%","42.4%","37.1%","7.7%","25.3%","46","6.12","521","794","1315","45.8%","37.0%","17.3%","13.3%","39.8%","47.0%","1841"
"Zack Littell","Twins",".297","1.14","27.9%","38.5%","33.7%","25.7%","11.4%","24","5.84","184","367","551","42.9%","26.7%","30.5%","16.2%","33.3%","50.5%","15823"
"Carlos Rodon","White Sox",".322","1.14","19.4%","43.0%","37.6%","8.6%","11.4%","23","5.97","267","429","696","45.7%","29.8%","24.5%","14.9%","48.9%","36.2%","16137"
"Heath Fillmyer","Royals",".301","1.14","21.5%","41.8%","36.7%","13.8%","20.7%","8","3.22","188","265","453","48.1%","29.1%","22.8%","12.7%","48.1%","39.2%","17466"
"Branden Kline","Orioles",".292","1.14","26.0%","39.4%","34.6%","15.9%","20.5%","19","4.17","292","416","708","35.9%","35.9%","28.1%","22.7%","36.7%","40.6%","14101"
"Alex Wood","Reds",".294","1.14","28.2%","38.2%","33.6%","8.1%","29.7%","15","3.79","211","375","586","47.8%","25.7%","26.6%","12.4%","43.4%","44.3%","13781"
"Touki Toussaint","Braves",".339","1.13","16.9%","44.1%","39.0%","10.9%","10.9%","26","5.62","326","454","780","37.5%","34.2%","28.3%","15.8%","50.0%","34.2%","16929"
"Junior Guerra","Brewers",".218","1.13","18.1%","43.4%","38.5%","15.3%","12.9%","35","3.76","534","858","1392","38.8%","36.6%","24.7%","17.6%","44.1%","38.3%","5702"
"Devin Williams","Brewers",".372","1.13","22.7%","40.9%","36.4%","6.3%","12.5%","10","6.59","102","168","270","40.0%","37.8%","22.2%","24.4%","44.4%","31.1%","15816"
"Luis Escobar","Pirates",".429","1.13","19.0%","42.9%","38.1%","0.0%","12.5%","7","11.12","45","59","104","27.3%","50.0%","22.7%","4.6%","59.1%","36.4%","17345"
"Jose Berrios","Twins",".299","1.12","20.5%","42.1%","37.4%","12.9%","12.0%","135","6.06","1019","2113","3132","41.7%","31.5%","26.8%","19.4%","44.3%","36.3%","14168"
"Carlos Carrasco","Indians",".354","1.12","22.9%","40.8%","36.3%","7.4%","22.2%","40","4.50","419","855","1274","47.1%","31.3%","21.6%","15.9%","44.1%","40.1%","6632"
"Anthony DeSclafani","Reds",".273","1.12","18.8%","42.9%","38.2%","10.6%","16.2%","75","4.05","956","1712","2668","38.2%","38.0%","23.7%","17.2%","42.2%","40.6%","13050"
"Brad Brach","- - -",".363","1.12","25.7%","39.2%","35.1%","13.5%","7.7%","25","4.14","370","627","997","36.7%","34.0%","29.3%","16.7%","48.7%","34.7%","6627"
"Tayron Guerrero","Marlins",".282","1.12","16.0%","44.3%","39.7%","9.6%","13.5%","15","2.93","348","552","900","38.2%","36.6%","25.2%","16.0%","39.7%","44.3%","11691"
"Jon Edwards","Indians",".143","1.11","17.4%","43.5%","39.1%","11.1%","22.2%","5","5.63","60","83","143","39.1%","47.8%","13.0%","26.1%","34.8%","39.1%","1483"
"Mike Wright Jr.","- - -",".392","1.11","26.2%","38.8%","35.0%","5.6%","16.7%","12","3.68","222","355","577","38.8%","32.0%","29.1%","13.6%","45.6%","40.8%","12586"
"Wei-Chieh Huang","Rangers",".333","1.11","20.8%","41.7%","37.5%","22.2%","0.0%","6","9.53","46","68","114","41.7%","25.0%","33.3%","20.8%","29.2%","50.0%","17508"
"Zach Davies","Brewers",".272","1.10","23.6%","40.1%","36.3%","6.6%","11.0%","80","4.51","1045","1635","2680","38.8%","35.5%","25.8%","15.1%","46.7%","38.2%","13183"
"Nick Kingham","- - -",".379","1.10","21.4%","41.2%","37.4%","8.8%","16.2%","28","4.53","382","645","1027","41.5%","31.9%","26.6%","18.6%","42.0%","39.4%","11694"
"Dylan Bundy","Orioles",".297","1.10","20.9%","41.5%","37.7%","11.3%","16.4%","93","5.18","971","1807","2778","46.6%","31.0%","22.4%","16.7%","52.1%","31.2%","12917"
"Josh Sborz","Dodgers",".296","1.10","27.6%","37.9%","34.5%","10.0%","20.0%","3","3.00","63","122","185","37.9%","31.0%","31.0%","3.5%","31.0%","65.5%","18323"
"Adrian Morejon","Padres",".483","1.10","30.0%","36.7%","33.3%","20.0%","10.0%","2","2.25","52","102","154","43.3%","30.0%","26.7%","20.0%","36.7%","43.3%","20039"
"Andres Munoz","Padres",".259","1.10","23.6%","40.0%","36.4%","10.0%","10.0%","13","5.09","147","269","416","25.0%","30.4%","44.6%","23.2%","32.1%","44.6%","20373"
"Chris Bassitt","Athletics",".267","1.10","21.0%","41.3%","37.6%","15.1%","13.8%","107","6.69","860","1570","2430","38.4%","31.4%","30.2%","17.0%","45.7%","37.2%","12304"
"Mike Morin","- - -",".244","1.10","22.9%","40.4%","36.7%","11.5%","9.8%","26","4.62","231","493","724","38.2%","38.2%","23.5%","16.5%","47.7%","35.9%","13442"
"Jonathan Loaisiga","Yankees",".316","1.10","23.5%","40.0%","36.5%","6.5%","19.4%","13","3.69","225","367","592","35.3%","34.1%","30.6%","12.9%","47.1%","40.0%","19753"
"Seth Lugo","Mets",".265","1.09","17.6%","43.1%","39.4%","8.1%","10.8%","46","5.18","426","849","1275","45.0%","30.7%","24.3%","12.2%","55.0%","32.8%","12447"
"Scott Barlow","Royals",".337","1.09","23.4%","40.0%","36.6%","4.7%","9.4%","25","3.20","481","819","1300","43.8%","31.5%","24.7%","15.2%","47.8%","37.1%","14993"
"Enyel De Los Santos","Phillies",".321","1.09","25.8%","38.7%","35.5%","9.1%","36.4%","3","2.45","58","118","176","34.4%","50.0%","15.6%","15.6%","46.9%","37.5%","18403"
"Stephen Tarpley","Yankees",".444","1.09","30.4%","36.2%","33.3%","13.0%","26.1%","20","7.30","215","310","525","42.0%","33.3%","24.6%","26.1%","37.7%","36.2%","15859"
"Alex McRae","Pirates",".318","1.08","20.2%","41.5%","38.3%","11.1%","25.0%","14","4.73","214","333","547","43.6%","34.0%","22.3%","18.1%","39.4%","42.6%","16317"
"Aaron Civale","Indians",".250","1.08","22.1%","40.5%","37.4%","13.1%","6.6%","19","2.97","332","531","863","36.6%","29.3%","34.2%","17.1%","44.5%","38.4%","19479"
"Blake Snell","Rays",".343","1.08","24.7%","39.0%","36.3%","14.3%","15.4%","43","3.62","679","1212","1891","43.1%","27.7%","29.3%","18.6%","46.6%","34.8%","13543"
"Luke Weaver","Diamondbacks",".292","1.08","21.5%","40.7%","37.8%","9.2%","9.2%","33","4.62","376","677","1053","37.4%","31.0%","31.6%","14.4%","42.0%","43.7%","16918"
"Rafael Montero","Rangers",".269","1.07","22.2%","40.3%","37.5%","7.4%","18.5%","13","4.03","166","293","459","40.3%","33.3%","26.4%","18.1%","40.3%","41.7%","12760"
"Corey Kluber","Indians",".370","1.07","22.7%","40.0%","37.3%","4.9%","9.8%","24","6.06","223","388","611","30.4%","33.9%","35.7%","17.0%","45.5%","37.5%","2429"
"Marco Gonzales","Mariners",".295","1.07","21.3%","40.7%","38.0%","11.7%","9.3%","137","6.07","1085","2147","3232","40.6%","35.6%","23.7%","18.1%","47.6%","34.3%","15467"
"Max Scherzer","Nationals",".321","1.07","21.1%","40.8%","38.1%","7.7%","11.6%","91","4.75","858","1912","2770","41.3%","31.3%","27.4%","18.8%","45.5%","35.7%","3137"
"Nick Vincent","- - -",".317","1.07","28.5%","36.9%","34.6%","8.9%","17.8%","21","4.23","246","505","751","29.8%","43.5%","26.7%","15.3%","41.2%","43.5%","7555"
"Jacob Waguespack","Blue Jays",".279","1.07","21.8%","40.3%","37.8%","11.1%","13.3%","38","4.38","491","842","1333","43.3%","32.4%","24.4%","17.2%","44.1%","38.7%","18318"
"A.J. Minter","Braves",".388","1.07","28.7%","36.8%","34.5%","0.0%","10.0%","13","3.99","216","372","588","37.5%","39.8%","22.7%","17.1%","37.5%","45.5%","18655"
"Shelby Miller","Rangers",".333","1.07","19.7%","41.4%","38.9%","3.3%","13.1%","32","6.55","334","529","863","38.9%","29.9%","31.2%","12.7%","43.3%","44.0%","10197"
"Matt Magill","- - -",".324","1.06","26.4%","37.9%","35.7%","10.0%","14.0%","22","3.91","313","572","885","39.9%","39.9%","20.3%","16.1%","43.4%","40.6%","3950"
"Kenta Maeda","Dodgers",".243","1.06","21.1%","40.6%","38.3%","11.3%","14.6%","95","5.56","834","1599","2433","40.0%","34.3%","25.8%","22.0%","45.5%","32.5%","18498"
"Kevin Gausman","- - -",".344","1.06","27.1%","37.5%","35.4%","11.8%","14.7%","46","4.05","544","1127","1671","36.7%","37.0%","26.3%","14.3%","45.7%","40.0%","14107"
"Rogelio Armenteros","Astros",".314","1.06","27.5%","37.3%","35.3%","16.7%","5.6%","17","8.50","129","204","333","50.0%","30.8%","19.2%","26.9%","32.7%","40.4%","17679"
"Zac Reininger","Tigers",".344","1.05","29.0%","36.4%","34.6%","5.4%","29.7%","9","2.89","216","317","533","34.6%","36.5%","29.0%","6.5%","46.7%","46.7%","15285"
