"Name","Team","K/9","BB/9","K/BB","HR/9","K%","BB%","K-BB%","AVG","WHIP","BABIP","LOB%","ERA-","FIP-","xFIP-","ERA","FIP","E-F","xFIP","SIERA","playerid"
"Brandon Gomes","Rays","13.50","3.26","4.14","1.86","34.9%","8.4%","26.5%",".237","1.29",".326","51.6%","169","98","80","6.52","3.82","2.69","3.18","2.36","2267"
"Rich Hill","Indians","11.87","6.75","1.76","0.70","28.0%","15.9%","12.1%",".252","1.73",".361","60.2%","158","96","104","6.28","3.82","2.46","4.12","3.79","4806"
"J.J. Putz","Diamondbacks","9.96","4.46","2.24","1.05","27.1%","12.1%","15.0%",".211","1.25",".272","90.9%","61","102","90","2.36","3.83","-1.48","3.39","3.24","1795"
"Robbie Erlin","Padres","6.59","2.47","2.67","0.99","17.6%","6.6%","11.0%",".250","1.24",".283","70.5%","116","104","106","4.12","3.83","0.28","3.98","4.12","10354"
"T.J. McFarland","Orioles","6.99","3.38","2.07","0.84","17.5%","8.5%","9.1%",".274","1.49",".319","73.1%","103","93","93","4.22","3.84","0.38","3.68","3.49","3237"
"Jeanmar Gomez","Pirates","5.91","3.12","1.89","0.67","15.9%","8.4%","7.5%",".215","1.15",".243","69.6%","93","105","105","3.35","3.85","-0.51","3.95","3.90","9033"
"Brett Anderson","Athletics","9.27","4.23","2.19","1.01","23.0%","10.5%","12.5%",".285","1.61",".359","61.5%","156","99","82","6.04","3.85","2.19","3.26","3.24","8223"
"Yoervis Medina","Mariners","9.40","5.29","1.78","0.66","24.4%","13.8%","10.7%",".198","1.31",".257","82.6%","76","99","97","2.91","3.86","-0.94","3.85","3.69","10498"
"Bud Norris","- - -","7.49","3.41","2.19","0.87","19.0%","8.7%","10.4%",".280","1.49",".333","73.3%","103","95","106","4.18","3.86","0.32","4.22","4.19","9492"
"Marco Estrada","Brewers","8.30","2.04","4.07","1.34","23.1%","5.7%","17.4%",".227","1.08",".262","74.1%","100","98","96","3.87","3.86","0.01","3.63","3.43","1118"
"John Lackey","Red Sox","7.65","1.90","4.03","1.24","20.7%","5.1%","15.6%",".245","1.16",".281","76.9%","84","99","88","3.52","3.86","-0.34","3.49","3.48","1507"
"Evan Reed","Tigers","6.56","3.09","2.13","0.77","16.2%","7.6%","8.6%",".292","1.54",".338","61.4%","105","97","99","4.24","3.86","0.38","3.92","3.65","1349"
"Carlos Villanueva","Cubs","7.20","2.80","2.58","0.98","19.7%","7.6%","12.0%",".243","1.22",".283","72.7%","109","102","105","4.06","3.86","0.19","3.97","3.89","4138"
"Evan Scribner","Athletics","6.41","2.36","2.71","1.01","16.7%","6.1%","10.5%",".243","1.24",".271","69.4%","113","99","114","4.39","3.87","0.51","4.51","3.98","7525"
"Matt Garza","- - -","7.88","2.43","3.24","1.16","20.9%","6.4%","14.4%",".248","1.24",".290","73.4%","95","98","96","3.82","3.88","-0.05","3.73","3.72","3340"
"Jerry Blevins","Athletics","7.80","2.55","3.06","1.05","21.2%","6.9%","14.3%",".210","1.07",".242","77.3%","81","99","107","3.15","3.88","-0.73","4.25","3.56","7841"
"Travis Wood","Cubs","6.48","2.97","2.18","0.81","17.5%","8.0%","9.5%",".218","1.15",".248","77.4%","83","103","120","3.11","3.89","-0.78","4.50","4.43","9884"
"Sean O'Sullivan","Padres","4.32","5.04","0.86","0.00","10.2%","11.9%","-1.7%",".301","1.80",".341","73.9%","111","105","150","3.96","3.89","0.07","5.64","5.57","9137"
"Jake Odorizzi","Rays","6.67","2.43","2.75","0.91","18.0%","6.6%","11.5%",".250","1.21",".287","74.0%","102","100","109","3.94","3.89","0.05","4.33","4.06","6397"
"Yovani Gallardo","Brewers","7.17","3.29","2.18","0.90","18.6%","8.5%","10.1%",".256","1.36",".299","70.2%","108","99","99","4.18","3.89","0.29","3.74","3.98","8173"
"Alex Burnett","- - -","7.71","7.71","1.00","0.00","14.3%","14.3%","0.0%",".417","3.00",".500","57.1%","282","98","175","11.57","3.90","7.67","6.83","5.46","4065"
"Phil Irwin","Pirates","7.71","7.71","1.00","0.00","17.4%","17.4%","0.0%",".316","2.14",".400","50.0%","215","106","119","7.71","3.90","3.81","4.49","5.00","9489"
"Octavio Dotel","Tigers","7.71","7.71","1.00","0.00","14.3%","14.3%","0.0%",".417","3.00",".500","50.0%","334","98","142","13.50","3.90","9.60","5.66","5.19","555"
"Wesley Wright","- - -","9.22","3.19","2.89","1.17","23.7%","8.2%","15.5%",".257","1.36",".318","78.6%","93","98","84","3.69","3.92","-0.23","3.32","3.01","5960"
"David Martinez","Astros","4.76","2.38","2.00","0.79","11.5%","5.8%","5.8%",".327","1.68",".357","45.5%","178","98","122","7.15","3.93","3.22","4.83","4.51","8893"
"Greg Burke","Mets","7.96","4.26","1.87","0.85","18.0%","9.6%","8.3%",".305","1.83",".364","57.6%","160","104","105","5.68","3.93","1.75","3.95","3.77","6282"
"Matt Cain","Giants","7.71","2.69","2.87","1.12","20.8%","7.2%","13.6%",".226","1.16",".260","71.6%","116","111","103","4.00","3.93","0.07","3.88","3.84","4732"
"Ervin Santana","Royals","6.87","2.18","3.16","1.11","18.7%","5.9%","12.8%",".237","1.14",".267","76.9%","80","100","93","3.24","3.93","-0.69","3.69","3.77","3200"
"Tom Gorzelanny","Brewers","8.75","3.27","2.68","1.16","23.3%","8.7%","14.6%",".238","1.27",".288","72.9%","101","100","97","3.90","3.94","-0.04","3.64","3.49","6244"
"Logan Ondrusek","Reds","8.67","2.62","3.31","1.31","22.8%","6.9%","15.9%",".245","1.25",".290","74.8%","107","101","91","4.09","3.94","0.15","3.44","3.11","3677"
"Chad Jenkins","Blue Jays","4.05","1.62","2.50","0.81","11.4%","4.6%","6.8%",".248","1.11",".262","74.0%","67","98","107","2.70","3.95","-1.25","4.25","4.34","10326"
"Joe Savery","Phillies","6.30","4.95","1.27","0.45","16.3%","12.8%","3.5%",".200","1.30",".233","61.0%","84","103","119","3.15","3.95","-0.80","4.46","4.41","2835"
"Matt Moore","Rays","8.56","4.55","1.88","0.84","22.3%","11.8%","10.4%",".212","1.30",".259","78.6%","85","102","109","3.29","3.95","-0.66","4.32","4.24","1890"
"Jake Peavy","- - -","7.53","2.24","3.36","1.24","20.5%","6.1%","14.4%",".236","1.15",".268","70.0%","101","99","102","4.17","3.96","0.21","4.03","3.87","1051"
"Alfredo Simon","Reds","6.47","2.67","2.42","0.82","17.6%","7.2%","10.3%",".209","1.07",".236","78.2%","75","102","112","2.87","3.96","-1.09","4.22","3.77","2155"
"Andrew Albers","Twins","3.75","1.05","3.57","0.90","10.0%","2.8%","7.2%",".267","1.18",".278","60.4%","100","100","111","4.05","3.96","0.09","4.42","4.63","7853"
"Joe Ortiz","Rangers","5.44","2.01","2.70","1.01","14.4%","5.4%","9.1%",".260","1.25",".283","61.2%","100","97","96","4.23","3.97","0.27","3.83","3.91","7955"
"C.C. Lee","Indians","8.31","6.23","1.33","0.00","18.2%","13.6%","4.6%",".222","1.62",".286","62.5%","105","100","155","4.15","3.97","0.18","6.18","4.81","5177"
"Brandon Lyon","Mets","6.03","3.41","1.77","0.79","15.0%","8.5%","6.5%",".307","1.63",".351","69.5%","140","105","119","4.98","3.98","1.00","4.48","4.31","1312"
"Wade Miley","Diamondbacks","6.53","2.93","2.23","0.93","17.4%","7.8%","9.6%",".259","1.32",".296","75.8%","91","106","100","3.55","3.98","-0.43","3.77","3.96","8779"
"Javy Guerra","Dodgers","10.13","5.06","2.00","0.84","21.8%","10.9%","10.9%",".313","1.97",".400","63.1%","189","107","108","6.75","3.99","2.76","4.05","3.71","7407"
"Mike Pelfrey","Twins","5.95","3.12","1.91","0.77","14.9%","7.8%","7.1%",".296","1.55",".337","67.2%","129","101","114","5.19","3.99","1.20","4.54","4.55","5203"
"Kevin Gausman","Orioles","9.25","2.45","3.77","1.51","24.4%","6.5%","17.9%",".271","1.34",".328","64.4%","138","97","77","5.66","3.99","1.67","3.04","3.07","14107"
"Michael Kirkman","Rangers","10.23","6.14","1.67","0.82","21.7%","13.0%","8.7%",".360","2.32",".466","64.3%","193","98","112","8.18","4.00","4.18","4.44","4.08","9877"
"Dillon Gee","Mets","6.42","2.13","3.02","1.09","16.9%","5.6%","11.3%",".264","1.28",".296","77.9%","102","106","108","3.62","4.00","-0.38","4.07","4.07","7396"
"Joe Kelly","Cardinals","5.73","3.19","1.80","0.73","14.9%","8.3%","6.6%",".257","1.35",".289","82.4%","73","108","111","2.69","4.01","-1.32","4.19","4.24","9761"
"Justin De Fratus","Phillies","8.10","4.82","1.68","0.58","20.2%","12.0%","8.2%",".253","1.50",".316","76.3%","103","104","116","3.86","4.01","-0.15","4.35","4.04","4955"
"Kyle Kendrick","Phillies","5.44","2.32","2.34","0.89","13.8%","5.9%","7.9%",".277","1.40",".306","66.6%","125","105","110","4.70","4.01","0.68","4.15","4.27","6230"
"Brad Hand","Marlins","6.53","3.48","1.88","0.87","18.3%","9.8%","8.5%",".176","1.02",".193","76.9%","83","110","112","3.05","4.02","-0.97","4.21","4.24","9111"
"John Gast","Cardinals","5.84","3.65","1.60","0.73","15.4%","9.6%","5.8%",".234","1.30",".263","61.6%","139","108","114","5.11","4.02","1.09","4.30","4.45","11133"
"Xavier Cedeno","- - -","6.57","5.84","1.13","0.00","15.0%","13.3%","1.7%",".300","1.86",".366","52.0%","165","101","130","6.57","4.02","2.55","5.13","4.51","36"
"Josh Edgin","Mets","6.28","3.77","1.67","0.63","16.4%","9.8%","6.6%",".241","1.33",".279","75.3%","106","107","127","3.77","4.02","-0.26","4.79","4.30","10796"
"Ross Ohlendorf","Nationals","6.71","2.09","3.21","1.19","18.2%","5.7%","12.6%",".241","1.16",".268","81.9%","87","108","105","3.28","4.03","-0.74","3.95","3.84","8268"
"Scott Feldman","- - -","6.54","2.77","2.36","0.94","17.4%","7.4%","10.0%",".229","1.18",".258","69.4%","98","102","102","3.86","4.03","-0.16","3.96","4.03","6283"
"Jeff Locke","Pirates","6.76","4.55","1.49","0.60","17.6%","11.8%","5.8%",".235","1.38",".278","75.7%","98","110","111","3.52","4.03","-0.51","4.19","4.47","2929"
"Zach McAllister","Indians","6.77","3.28","2.06","0.87","17.4%","8.5%","9.0%",".256","1.36",".295","72.6%","94","102","114","3.75","4.03","-0.28","4.53","4.42","2895"
"Donnie Veal","White Sox","8.90","4.91","1.81","0.92","23.0%","12.7%","10.3%",".236","1.43",".295","68.8%","113","99","96","4.60","4.04","0.57","3.82","3.73","4741"
"Samuel Deduno","Twins","5.58","3.42","1.63","0.58","14.5%","8.9%","5.6%",".255","1.35",".291","73.7%","95","102","102","3.83","4.04","-0.21","4.06","4.05","5285"
"Matt Thornton","- - -","6.23","3.12","2.00","0.83","16.0%","8.0%","8.0%",".276","1.43",".316","75.3%","91","100","104","3.74","4.04","-0.30","4.13","3.86","1918"
"Wei-Yin Chen","Orioles","6.83","2.56","2.67","1.12","18.2%","6.8%","11.4%",".267","1.32",".305","76.0%","99","98","104","4.07","4.04","0.03","4.14","4.16","13071"
"Mike Leake","Reds","5.71","2.25","2.54","0.98","15.2%","6.0%","9.2%",".258","1.25",".285","77.7%","88","104","104","3.37","4.04","-0.67","3.91","4.10","10130"
"Dan Straily","Athletics","7.33","3.37","2.18","0.95","19.4%","8.9%","10.5%",".229","1.24",".266","70.3%","102","104","111","3.96","4.05","-0.09","4.42","4.25","9460"
"Darren Oliver","Blue Jays","7.35","2.76","2.67","1.10","19.6%","7.4%","12.3%",".251","1.27",".291","71.9%","95","101","94","3.86","4.05","-0.19","3.74","3.47","206"
"Chris Archer","Rays","7.06","2.66","2.66","1.05","19.2%","7.2%","12.0%",".223","1.13",".253","78.8%","84","105","99","3.22","4.07","-0.85","3.91","3.88","6345"
"George Kontos","Giants","7.64","2.93","2.61","1.14","19.8%","7.6%","12.2%",".275","1.41",".323","71.2%","127","116","105","4.39","4.08","0.31","3.96","3.61","9486"
"Kyle Lohse","Brewers","5.66","1.63","3.47","1.18","15.5%","4.5%","11.0%",".256","1.17",".276","79.1%","87","104","107","3.35","4.08","-0.73","4.03","4.16","739"
"Brandon Beachy","Braves","6.90","1.20","5.75","1.50","19.2%","3.3%","15.8%",".233","1.03",".250","58.3%","122","111","96","4.50","4.08","0.42","3.60","3.61","8851"
"Dan Haren","Nationals","8.01","1.64","4.87","1.49","21.1%","4.3%","16.7%",".264","1.24",".302","70.3%","124","110","97","4.67","4.09","0.58","3.67","3.53","1757"
"Jason Vargas","Angels","6.54","2.76","2.37","1.02","16.9%","7.1%","9.8%",".273","1.39",".310","76.6%","106","107","108","4.02","4.09","-0.07","4.29","4.27","8044"
"CC Sabathia","Yankees","7.46","2.77","2.69","1.19","19.3%","7.2%","12.1%",".267","1.37",".308","67.4%","118","100","95","4.78","4.10","0.68","3.76","3.88","404"
"Kevin Gregg","Cubs","8.13","4.65","1.75","0.87","20.8%","11.9%","8.9%",".225","1.37",".270","77.3%","93","108","116","3.48","4.10","-0.61","4.38","4.06","1793"
"Carlos Carrasco","Indians","5.79","3.47","1.67","0.77","13.8%","8.3%","5.5%",".322","1.76",".364","60.7%","170","103","109","6.75","4.10","2.65","4.33","4.36","6632"
"Mark Buehrle","Blue Jays","6.14","2.25","2.73","1.06","15.9%","5.8%","10.1%",".273","1.35",".305","73.4%","102","102","103","4.15","4.10","0.06","4.09","4.13","225"
"Heath Bell","Diamondbacks","9.87","2.19","4.50","1.64","25.1%","5.6%","19.5%",".276","1.37",".337","82.7%","106","109","82","4.11","4.10","0.01","3.08","2.71","2080"
"Eric O'Flaherty","Braves","5.50","2.50","2.20","1.00","15.7%","7.1%","8.6%",".185","0.94",".192","84.5%","68","112","101","2.50","4.10","-1.60","3.80","3.60","5746"
"Jared Hughes","Pirates","6.47","4.50","1.44","0.56","15.5%","10.8%","4.7%",".285","1.66",".333","72.8%","133","112","115","4.78","4.11","0.67","4.32","4.07","9325"
"Bruce Chen","Royals","5.80","2.68","2.17","0.97","15.7%","7.2%","8.4%",".233","1.18",".255","78.3%","81","105","124","3.27","4.12","-0.85","4.93","4.73","769"
"Arquimedes Caminero","Marlins","8.31","2.08","4.00","1.38","23.1%","5.8%","17.3%",".208","1.00",".235","89.3%","75","113","115","2.77","4.12","-1.36","4.33","3.48","8992"
"James McDonald","Pirates","7.58","6.07","1.25","0.30","18.1%","14.5%","3.6%",".252","1.65",".315","55.3%","161","112","144","5.76","4.13","1.64","5.39","5.11","5523"
"Neil Wagner","Blue Jays","7.82","3.08","2.54","1.18","20.5%","8.1%","12.4%",".265","1.37",".312","78.3%","93","103","89","3.79","4.13","-0.34","3.53","3.43","8162"
"Josh Zeid","Astros","7.81","3.90","2.00","0.98","20.3%","10.2%","10.2%",".248","1.37",".295","77.6%","97","103","96","3.90","4.13","-0.23","3.81","3.67","6527"
"Preston Claiborne","Yankees","7.51","2.50","3.00","1.25","19.6%","6.5%","13.1%",".258","1.29",".295","76.9%","101","101","98","4.11","4.14","-0.03","3.88","3.45","10500"
"Kyle Farnsworth","- - -","6.57","2.35","2.80","1.17","17.3%","6.2%","11.1%",".285","1.38",".322","72.3%","122","108","95","4.70","4.14","0.55","3.73","3.57","278"
"Phil Coke","Tigers","7.04","4.93","1.43","0.70","17.0%","11.9%","5.1%",".276","1.67",".325","66.9%","134","104","116","5.40","4.14","1.26","4.59","4.42","5535"
"Brad Brach","Padres","9.00","5.52","1.63","0.87","22.0%","13.5%","8.5%",".295","1.77",".375","78.7%","90","112","118","3.19","4.14","-0.95","4.43","4.13","6627"
"Zack Wheeler","Mets","7.56","4.14","1.83","0.90","19.5%","10.7%","8.8%",".236","1.36",".279","77.8%","96","110","112","3.42","4.17","-0.75","4.21","4.33","10310"
"Wade Davis","Royals","7.58","3.86","1.97","1.00","18.5%","9.4%","9.1%",".304","1.68",".361","67.6%","132","106","105","5.32","4.18","1.14","4.15","4.27","7441"
"Jonathan Pettibone","Phillies","5.92","3.41","1.74","0.81","15.1%","8.7%","6.4%",".277","1.47",".313","73.2%","108","109","114","4.04","4.18","-0.15","4.30","4.46","7106"
"Sean Burnett","Angels","6.52","3.72","1.75","0.93","17.5%","10.0%","7.5%",".250","1.34",".286","100.0%","25","109","90","0.93","4.19","-3.25","3.55","3.47","1886"
"Nick Tepesch","Rangers","7.35","2.61","2.81","1.16","18.7%","6.6%","12.0%",".268","1.37",".309","69.1%","114","103","96","4.84","4.19","0.65","3.82","3.79","11716"
"Zach Duke","- - -","5.17","2.87","1.80","0.86","12.7%","7.0%","5.6%",".298","1.56",".327","59.0%","160","111","116","6.03","4.20","1.84","4.35","4.14","3840"
"Jeremy Hellickson","Rays","6.98","2.59","2.70","1.24","18.3%","6.8%","11.5%",".271","1.35",".307","66.2%","134","109","105","5.17","4.22","0.95","4.15","4.07","4371"
"Martin Perez","Rangers","6.08","2.68","2.27","1.09","15.9%","7.0%","8.9%",".264","1.34",".292","77.0%","85","104","102","3.62","4.23","-0.61","4.04","4.17","6902"
"Paul Maholm","Braves","6.18","2.76","2.23","1.00","15.7%","7.0%","8.7%",".276","1.41",".310","71.2%","120","116","103","4.41","4.24","0.17","3.89","4.02","8678"
"Anthony Bass","Padres","6.64","4.29","1.55","0.86","16.1%","10.4%","5.7%",".295","1.69",".341","68.8%","151","115","113","5.36","4.24","1.12","4.27","4.23","7982"
"Jose Cisnero","Astros","8.45","4.53","1.86","1.03","20.7%","11.1%","9.6%",".280","1.63",".341","75.4%","103","105","109","4.12","4.24","-0.12","4.31","3.95","6399"
"Edinson Volquez","- - -","7.50","4.07","1.84","1.00","18.3%","9.9%","8.4%",".277","1.59",".325","64.5%","160","115","108","5.71","4.24","1.47","4.07","4.26","3990"
"Pedro Beato","Red Sox","4.50","1.80","2.50","0.90","10.9%","4.4%","6.5%",".279","1.40",".297","73.5%","86","109","143","3.60","4.25","-0.65","5.68","4.83","1330"
"Rafael Dolis","Cubs","0.00","3.60","0.00","0.00","0.0%","9.5%","-9.5%",".158","1.00",".158","60.0%","0","112","164","0.00","4.25","-4.25","6.16","6.64","4185"
"Dallas Keuchel","Astros","7.20","3.05","2.37","1.17","18.0%","7.6%","10.4%",".294","1.54",".340","68.1%","129","106","90","5.15","4.25","0.90","3.58","3.63","9434"
"Juan Nicasio","Rockies","6.79","3.65","1.86","0.97","16.9%","9.1%","7.8%",".265","1.47",".303","65.7%","117","105","115","5.14","4.25","0.88","4.32","4.41","7731"
"Trevor Cahill","Diamondbacks","6.26","3.99","1.57","0.80","16.0%","10.2%","5.8%",".253","1.42",".289","73.5%","102","113","109","3.99","4.26","-0.27","4.11","4.30","6249"
"Ryan Brasier","Angels","7.00","4.00","1.75","1.00","20.0%","11.4%","8.6%",".226","1.22",".261","93.8%","53","112","113","2.00","4.27","-2.27","4.50","4.14","5615"
"Tom Koehler","Marlins","5.79","3.40","1.70","0.88","15.3%","9.0%","6.3%",".258","1.36",".289","70.8%","120","117","114","4.41","4.27","0.13","4.28","4.47","6570"
"Kevin Chapman","Astros","6.64","5.75","1.15","0.44","17.2%","14.9%","2.3%",".178","1.28",".211","82.0%","44","106","127","1.77","4.28","-2.51","5.05","4.94","11240"
"Michael Stutes","Phillies","4.58","4.08","1.13","0.51","12.0%","10.7%","1.3%",".212","1.25",".232","55.6%","122","112","144","4.58","4.29","0.29","5.41","5.05","6550"
"Michael Bowden","Cubs","5.50","3.58","1.53","0.72","14.6%","9.5%","5.1%",".229","1.25",".254","69.9%","115","114","134","4.30","4.30","0.01","5.04","4.67","4440"
"Wily Peralta","Brewers","6.33","3.58","1.77","0.93","16.1%","9.1%","7.0%",".259","1.42",".293","66.6%","113","110","110","4.37","4.30","0.07","4.13","4.32","7738"
"Carlos Torres","Mets","7.82","1.77","4.41","1.56","21.3%","4.8%","16.5%",".239","1.11",".266","83.5%","97","114","93","3.44","4.30","-0.86","3.50","3.28","7624"
"Tommy Milone","Athletics","7.25","2.25","3.23","1.44","18.9%","5.9%","13.0%",".256","1.27",".284","71.1%","107","110","105","4.14","4.30","-0.16","4.15","3.99","7608"
"J.A. Happ","Blue Jays","7.48","4.37","1.71","0.97","18.6%","10.8%","7.7%",".247","1.47",".288","68.6%","112","107","122","4.56","4.31","0.25","4.84","4.62","7410"
"Daisuke Matsuzaka","Mets","7.68","3.72","2.06","0.93","19.9%","9.6%","10.2%",".221","1.24",".259","67.5%","124","114","128","4.42","4.32","0.11","4.81","4.42","7775"
"Chris Hatcher","Marlins","7.27","4.15","1.75","1.04","15.9%","9.1%","6.8%",".325","1.96",".375","25.6%","339","118","121","12.46","4.32","8.14","4.55","4.29","3299"
"Ryan Reid","Pirates","5.73","2.45","2.33","0.82","14.9%","6.4%","8.5%",".214","1.09",".235","95.2%","46","118","113","1.64","4.32","-2.68","4.26","3.74","9385"
"Adam Warren","Yankees","7.48","3.51","2.13","1.17","19.3%","9.1%","10.3%",".268","1.43",".311","84.7%","84","105","100","3.39","4.32","-0.93","3.98","3.77","9029"
"Cory Gearrin","Braves","6.68","4.65","1.44","0.58","17.3%","12.0%","5.3%",".265","1.48",".318","78.4%","102","118","118","3.77","4.34","-0.56","4.42","4.20","7947"
"Aaron Crow","Royals","8.25","4.13","2.00","1.13","21.0%","10.5%","10.5%",".263","1.48",".316","83.6%","84","111","99","3.38","4.34","-0.96","3.94","3.68","10149"
"John Axford","- - -","9.00","3.60","2.50","1.38","22.5%","9.0%","13.5%",".280","1.52",".339","79.3%","104","111","94","4.02","4.34","-0.32","3.56","3.34","9059"
"Jarred Cosart","Astros","4.95","5.25","0.94","0.45","13.4%","14.2%","-0.8%",".218","1.35",".246","85.9%","49","108","118","1.95","4.35","-2.40","4.68","5.27","10304"
"Stephen Fife","Dodgers","6.94","3.09","2.25","1.08","17.4%","7.8%","9.7%",".296","1.53",".343","78.4%","103","117","103","3.70","4.35","-0.65","3.89","3.91","8077"
"Josh Lueke","Rays","10.55","5.06","2.08","1.27","25.3%","12.1%","13.1%",".267","1.64",".345","75.5%","131","112","115","5.06","4.36","0.70","4.58","3.69","5722"
"Preston Guilmet","Indians","1.69","5.06","0.33","0.00","3.6%","10.7%","-7.1%",".320","2.06",".333","45.5%","255","110","174","10.13","4.36","5.76","6.92","6.39","7303"
"Alexi Ogando","Rangers","6.21","3.54","1.76","0.95","16.8%","9.6%","7.2%",".228","1.23",".254","80.8%","73","107","117","3.11","4.36","-1.26","4.64","4.58","10261"
"David Hernandez","Diamondbacks","9.53","3.47","2.75","1.44","25.1%","9.1%","16.0%",".213","1.19",".252","70.3%","115","116","106","4.48","4.36","0.11","3.99","3.28","4259"
"Hector Noesi","Mariners","6.91","3.95","1.75","0.99","15.7%","9.0%","6.7%",".347","1.98",".402","66.9%","171","112","119","6.59","4.36","2.22","4.74","4.36","3292"
"John Lannan","Phillies","4.60","3.27","1.41","0.73","11.5%","8.1%","3.3%",".287","1.52",".313","63.9%","142","114","125","5.33","4.37","0.96","4.71","4.76","7080"
"Erik Bedard","Astros","8.23","4.47","1.84","1.07","20.8%","11.3%","9.5%",".256","1.48",".308","71.8%","115","109","116","4.59","4.38","0.21","4.61","4.35","126"
"Chad Billingsley","Dodgers","4.50","3.75","1.20","0.75","12.2%","10.2%","2.0%",".273","1.42",".297","83.3%","84","117","124","3.00","4.38","-1.38","4.66","5.20","5842"
"Raul Valdes","Phillies","9.51","2.06","4.63","1.80","24.3%","5.3%","19.1%",".296","1.43",".357","54.5%","199","114","99","7.46","4.39","3.07","3.74","3.02","1953"
"Chaz Roe","Diamondbacks","9.67","5.24","1.85","1.21","25.3%","13.7%","11.6%",".220","1.39",".273","78.4%","104","116","98","4.03","4.39","-0.36","3.68","3.59","9866"
"Manny Corpas","Rockies","6.48","3.46","1.88","1.08","16.9%","9.0%","7.9%",".248","1.34",".278","72.0%","103","108","110","4.54","4.39","0.14","4.14","4.01","2807"
"Todd Redmond","Blue Jays","8.88","2.69","3.30","1.52","23.5%","7.1%","16.4%",".237","1.21",".277","75.5%","107","109","105","4.32","4.40","-0.07","4.16","3.65","9943"
"Hector Rondon","Cubs","7.24","4.12","1.76","0.99","18.2%","10.3%","7.9%",".243","1.41",".280","71.2%","128","116","118","4.77","4.40","0.37","4.42","4.09","2391"
"Kevin Correia","Twins","4.90","2.19","2.24","1.17","12.8%","5.7%","7.1%",".293","1.42",".313","76.1%","104","111","107","4.18","4.40","-0.23","4.24","4.50","1767"
"Jarrod Parker","Athletics","6.12","2.88","2.13","1.14","16.4%","7.7%","8.7%",".238","1.22",".260","73.2%","102","113","111","3.97","4.40","-0.43","4.41","4.41","4913"
"Brad Boxberger","Padres","9.82","5.32","1.85","1.23","25.5%","13.8%","11.7%",".235","1.45",".296","82.7%","80","120","105","2.86","4.41","-1.55","3.94","3.75","10133"
"Wandy Rodriguez","Pirates","6.61","1.72","3.83","1.44","17.7%","4.6%","13.1%",".238","1.12",".255","80.0%","100","121","106","3.59","4.42","-0.83","4.00","3.88","2586"
"Josh Lindblom","Rangers","6.03","3.16","1.91","1.15","15.3%","8.0%","7.3%",".278","1.47",".307","66.8%","129","108","113","5.46","4.42","1.04","4.50","4.57","7882"
"Troy Patton","Orioles","6.75","2.57","2.63","1.29","17.9%","6.8%","11.1%",".264","1.30",".295","78.7%","90","107","103","3.70","4.42","-0.73","4.10","3.68","8368"
"Chris Tillman","Orioles","7.81","2.97","2.63","1.44","21.2%","8.1%","13.1%",".238","1.22",".269","80.5%","90","107","98","3.71","4.42","-0.72","3.88","3.88","5279"
"Jacob Turner","Marlins","5.87","4.12","1.43","0.84","15.0%","10.5%","4.5%",".254","1.44",".285","75.0%","102","122","125","3.74","4.43","-0.69","4.71","4.85","10185"
"Hector Santiago","White Sox","8.28","4.35","1.90","1.03","20.9%","11.0%","9.9%",".241","1.40",".289","77.4%","88","108","117","3.56","4.44","-0.88","4.65","4.27","4026"
"Jeremy Affeldt","Giants","5.61","4.54","1.24","0.53","14.4%","11.6%","2.7%",".216","1.31",".245","75.2%","108","126","119","3.74","4.44","-0.70","4.48","4.32","583"
"Miguel Gonzalez","Orioles","6.30","2.78","2.26","1.26","16.9%","7.4%","9.4%",".239","1.23",".260","73.6%","92","108","109","3.78","4.45","-0.67","4.31","4.34","7024"
"James Russell","Cubs","6.32","3.08","2.06","1.20","17.3%","8.4%","8.9%",".236","1.22",".258","79.7%","96","118","127","3.59","4.45","-0.86","4.77","4.23","4089"
"Cesar Jimenez","Phillies","5.82","5.29","1.10","0.53","14.5%","13.2%","1.3%",".215","1.41",".245","76.3%","99","116","150","3.71","4.46","-0.75","5.62","5.10","3762"
"Pedro Feliciano","Mets","7.15","4.76","1.50","0.79","17.7%","11.8%","5.9%",".250","1.50",".294","78.3%","111","118","127","3.97","4.46","-0.49","4.76","4.40","1601"
"Jake Dunning","Giants","5.68","3.91","1.45","0.71","15.4%","10.6%","4.8%",".222","1.22",".250","83.3%","82","127","112","2.84","4.47","-1.63","4.20","3.99","10803"
"Jeremy Hefner","Mets","6.82","2.55","2.68","1.38","17.8%","6.7%","11.2%",".257","1.29",".284","67.8%","122","119","108","4.34","4.49","-0.15","4.05","4.04","1989"
"Bronson Arroyo","Reds","5.52","1.51","3.65","1.43","15.1%","4.1%","10.9%",".254","1.15",".267","77.9%","99","116","105","3.79","4.49","-0.70","3.97","4.08","978"
"Tyler Cloyd","Phillies","6.12","3.73","1.64","1.04","14.5%","8.9%","5.7%",".324","1.79",".365","64.5%","175","117","127","6.56","4.49","2.07","4.77","4.75","8536"
"Phil Hughes","Yankees","7.48","2.59","2.88","1.48","18.9%","6.5%","12.3%",".286","1.46",".324","68.7%","128","110","111","5.19","4.50","0.69","4.39","4.16","7450"
"Vidal Nuno","Yankees","4.05","2.70","1.50","0.90","11.0%","7.3%","3.7%",".213","1.10",".219","89.1%","56","110","134","2.25","4.50","-2.25","5.32","5.23","9674"
